Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,Stage,AvgDelayMean,AvgDelayStd,AvgDelayCI95,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-heuristic,Normal,0.0260719683558524,0.000962350676421634,0.000843537560023298,0.9136,0.0190997382181013,0.0167416586991851,0.0864,0.0190997382181013,0.0167416586991851,2.50576,0.00306724632202859,0.00268855994167852,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-heuristic,Coop_1,0.0129381584171027,0.000141206101050706,0.000123772604788537,0.905333333333333,0.0218072363117282,0.019114885415415,0.0946666666666667,0.0218072363117282,0.019114885415415,2.132,0.0158254366272923,0.0138716068123183,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-heuristic,LinkDeg_Emerg,0.0120504018981757,0.000267517457741979,0.000234489390506165,0.996923076923077,0.00688020916153779,0.00603076923076921,0.00307692307692307,0.00688020916153779,0.00603076923076921,2.26184615384615,0.0627043405158418,0.0549627778080649,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-heuristic,PosDeg_Emerg,0.0120745536964035,0.00026056892360574,0.000228398731794503,1,0,0,0,0,0,2.99345454545455,0.107822934127981,0.0945109688155102,NaN,NaN,NaN
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-heuristic,Recovery,0.0120757006194385,0.000110529413641787,9.68833027071611e-05,0.981456953642384,0.0143572737673369,0.0125847053252132,0.0185430463576159,0.0143572737673369,0.0125847053252132,2.03615894039735,0.0306451542164951,0.0268616620195465,NaN,NaN,NaN
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-heuristic,Full,0.0150682059189906,0.000224821602660727,0.000197064823453055,0.953410981697171,0.0105889534620282,0.00928162694265726,0.0465890183028286,0.0105889534620282,0.00928162694265726,2.35737104825291,0.0210116878373046,0.0184175564318777,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,V4Cost0060,Normal,0.0237646843755043,0.00141647127079028,0.00124159181146773,0.9168,0.0230477764654207,0.020202266803505,0.0832,0.0230477764654207,0.020202266803505,2.47008,0.00107331262919998,0.00094080000000007,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,V4Cost0060,Coop_1,0.0132079758918046,0.000122112508943647,0.00010703633339321,0.92,0.0216024689946929,0.0189353989483542,0.08,0.0216024689946929,0.0189353989483542,2.0976,0.01011709224805,0.00886802235250014,0.991666666666667,0.0186338998124982,0.0163333333333333
10017,LongRange,LongMixed,Medium,Mixed,Default,V4Cost0060,LinkDeg_Emerg,0.0120504018981757,0.000267517457741979,0.000234489390506165,0.996923076923077,0.00688020916153779,0.00603076923076921,0.00307692307692307,0.00688020916153779,0.00603076923076921,2.09169230769231,0.038378371621058,0.0336401259416904,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,V4Cost0060,PosDeg_Emerg,0.0120745536964035,0.00026056892360574,0.000228398731794503,1,0,0,0,0,0,2.65654545454545,0.0666351854044416,0.0584083152689923,NaN,NaN,NaN
